model,profile_id,repetition,w_low,w_high,delta
GPT-4.1 mini,P19,4,75.0,40.0,35.0
GPT-4.1 mini,P19,5,75.0,40.0,35.0
GPT-4.1 mini,P20,1,75.0,40.0,35.0
GPT-4.1 mini,P20,2,75.0,40.0,35.0
GPT-4.1 mini,P20,3,75.0,40.0,35.0
GPT-4.1 mini,P20,4,75.0,40.0,35.0
GPT-4.1 mini,P20,5,75.0,40.0,35.0
GPT-4.1 mini,P21,1,80.0,40.0,40.0
GPT-4.1 mini,P21,2,75.0,40.0,35.0
GPT-4.1 mini,P21,3,75.0,40.0,35.0
GPT-4.1 mini,P21,4,75.0,40.0,35.0
GPT-4.1 mini,P21,5,80.0,40.0,40.0
GPT-4.1 mini,P22,1,75.0,45.0,30.0
GPT-4.1 mini,P22,2,75.0,45.0,30.0
GPT-4.1 mini,P22,3,75.0,45.0,30.0
GPT-4.1 mini,P22,4,75.0,45.0,30.0
GPT-4.1 mini,P22,5,75.0,45.0,30.0
GPT-4.1 mini,P23,1,75.0,45.0,30.0
GPT-4.1 mini,P23,2,75.0,45.0,30.0
GPT-4.1 mini,P23,3,75.0,45.0,30.0
GPT-4.1 mini,P23,4,75.0,45.0,30.0
GPT-4.1 mini,P23,5,75.0,45.0,30.0
GPT-4.1 mini,P24,1,85.0,45.0,40.0
GPT-4.1 mini,P24,2,75.0,55.0,20.0
GPT-4.1 mini,P24,3,85.0,45.0,40.0
GPT-4.1 mini,P24,4,75.0,45.0,30.0
GPT-4.1 mini,P24,5,75.0,45.0,30.0
GPT-4.1 mini,P25,1,75.0,45.0,30.0
GPT-4.1 mini,P25,2,75.0,40.0,35.0
GPT-4.1 mini,P25,3,75.0,45.0,30.0
GPT-4.1 mini,P25,4,75.0,40.0,35.0
GPT-4.1 mini,P25,5,75.0,45.0,30.0
GPT-4.1 mini,P26,1,75.0,45.0,30.0
GPT-4.1 mini,P26,2,75.0,45.0,30.0
GPT-4.1 mini,P26,3,75.0,45.0,30.0
GPT-4.1 mini,P26,4,75.0,45.0,30.0
GPT-4.1 mini,P26,5,75.0,45.0,30.0
GPT-4.1 mini,P27,1,85.0,50.0,35.0
GPT-4.1 mini,P27,2,85.0,45.0,40.0
GPT-4.1 mini,P27,3,85.0,50.0,35.0
GPT-4.1 mini,P27,4,85.0,50.0,35.0
GPT-4.1 mini,P27,5,85.0,50.0,35.0
GPT-4o,P01,1,75.0,40.0,35.0
GPT-4o,P01,2,75.0,40.0,35.0
GPT-4o,P01,3,75.0,40.0,35.0
GPT-4o,P01,4,75.0,40.0,35.0
GPT-4o,P01,5,75.0,40.0,35.0
GPT-4o,P02,1,85.0,40.0,45.0
GPT-4o,P02,2,85.0,40.0,45.0
GPT-4o,P02,3,85.0,40.0,45.0
GPT-4o,P02,4,85.0,40.0,45.0
GPT-4o,P02,5,85.0,40.0,45.0
GPT-4o,P03,1,85.0,60.0,25.0
GPT-4o,P03,2,85.0,60.0,25.0
GPT-4o,P03,3,85.0,60.0,25.0
GPT-4o,P03,4,85.0,60.0,25.0
GPT-4o,P03,5,85.0,60.0,25.0
GPT-4o,P04,1,75.0,60.0,15.0
GPT-4o,P04,2,75.0,60.0,15.0
GPT-4o,P04,3,75.0,60.0,15.0
GPT-4o,P04,4,75.0,60.0,15.0
GPT-4o,P04,5,75.0,60.0,15.0
GPT-4o,P05,1,85.0,60.0,25.0
GPT-4o,P05,2,85.0,60.0,25.0
GPT-4o,P05,3,85.0,60.0,25.0
GPT-4o,P05,4,85.0,60.0,25.0
GPT-4o,P05,5,85.0,60.0,25.0
GPT-4o,P06,1,85.0,60.0,25.0
GPT-4o,P06,2,85.0,60.0,25.0
GPT-4o,P06,3,85.0,60.0,25.0
GPT-4o,P06,4,85.0,65.0,20.0
GPT-4o,P06,5,85.0,60.0,25.0
GPT-4o,P07,1,75.0,60.0,15.0
GPT-4o,P07,2,75.0,60.0,15.0
GPT-4o,P07,3,75.0,60.0,15.0
GPT-4o,P07,4,75.0,60.0,15.0
GPT-4o,P07,5,75.0,60.0,15.0
GPT-4o,P08,1,85.0,60.0,25.0
GPT-4o,P08,2,85.0,60.0,25.0
GPT-4o,P08,3,85.0,60.0,25.0
GPT-4o,P08,4,85.0,60.0,25.0
GPT-4o,P08,5,85.0,60.0,25.0
GPT-4o,P09,1,85.0,70.0,15.0
GPT-4o,P09,2,85.0,65.0,20.0
GPT-4o,P09,3,85.0,70.0,15.0
GPT-4o,P09,4,85.0,65.0,20.0
GPT-4o,P09,5,85.0,65.0,20.0
GPT-4o,P10,1,85.0,50.0,35.0
GPT-4o,P10,2,80.0,40.0,40.0
GPT-4o,P10,3,80.0,40.0,40.0
GPT-4o,P10,4,85.0,40.0,45.0
GPT-4o,P10,5,85.0,50.0,35.0
GPT-4o,P11,1,85.0,60.0,25.0
GPT-4o,P11,2,85.0,60.0,25.0
GPT-4o,P11,3,85.0,60.0,25.0
GPT-4o,P11,4,85.0,60.0,25.0
GPT-4o,P11,5,85.0,60.0,25.0
GPT-4o,P12,1,85.0,60.0,25.0
GPT-4o,P12,2,85.0,60.0,25.0
GPT-4o,P12,3,85.0,60.0,25.0
GPT-4o,P12,4,85.0,60.0,25.0
GPT-4o,P12,5,85.0,60.0,25.0
GPT-4o,P13,1,75.0,60.0,15.0
GPT-4o,P13,2,85.0,60.0,25.0
GPT-4o,P13,3,80.0,60.0,20.0
GPT-4o,P13,4,75.0,60.0,15.0
GPT-4o,P13,5,85.0,60.0,25.0
GPT-4o,P14,1,85.0,60.0,25.0
GPT-4o,P14,2,85.0,60.0,25.0
GPT-4o,P14,3,85.0,60.0,25.0
GPT-4o,P14,4,85.0,60.0,25.0
GPT-4o,P14,5,85.0,60.0,25.0
GPT-4o,P15,1,85.0,70.0,15.0
GPT-4o,P15,2,85.0,70.0,15.0
GPT-4o,P15,3,85.0,65.0,20.0
GPT-4o,P15,4,85.0,70.0,15.0
GPT-4o,P15,5,85.0,70.0,15.0
GPT-4o,P16,1,85.0,60.0,25.0
GPT-4o,P16,2,80.0,60.0,20.0
GPT-4o,P16,3,85.0,60.0,25.0
GPT-4o,P16,4,80.0,60.0,20.0
GPT-4o,P16,5,85.0,60.0,25.0
GPT-4o,P17,1,85.0,60.0,25.0
GPT-4o,P17,2,85.0,60.0,25.0
GPT-4o,P17,3,85.0,60.0,25.0
GPT-4o,P17,4,85.0,60.0,25.0
GPT-4o,P17,5,85.0,60.0,25.0
GPT-4o,P18,1,85.0,70.0,15.0
GPT-4o,P18,2,85.0,70.0,15.0
GPT-4o,P18,3,85.0,70.0,15.0
GPT-4o,P18,4,85.0,70.0,15.0
GPT-4o,P18,5,85.0,70.0,15.0
GPT-4o,P19,1,85.0,60.0,25.0
GPT-4o,P19,2,85.0,60.0,25.0
GPT-4o,P19,3,85.0,60.0,25.0
GPT-4o,P19,4,85.0,60.0,25.0
GPT-4o,P19,5,85.0,60.0,25.0
GPT-4o,P20,1,85.0,60.0,25.0
GPT-4o,P20,2,85.0,60.0,25.0
GPT-4o,P20,3,85.0,60.0,25.0
GPT-4o,P20,4,85.0,60.0,25.0
GPT-4o,P20,5,85.0,60.0,25.0
GPT-4o,P21,1,85.0,60.0,25.0
GPT-4o,P21,2,85.0,60.0,25.0
GPT-4o,P21,3,85.0,60.0,25.0
GPT-4o,P21,4,85.0,60.0,25.0
GPT-4o,P21,5,85.0,60.0,25.0
GPT-4o,P22,1,85.0,60.0,25.0
GPT-4o,P22,2,85.0,60.0,25.0
GPT-4o,P22,3,85.0,60.0,25.0
GPT-4o,P22,4,85.0,60.0,25.0
GPT-4o,P22,5,85.0,60.0,25.0
GPT-4o,P23,1,85.0,60.0,25.0
GPT-4o,P23,2,85.0,60.0,25.0
GPT-4o,P23,3,85.0,60.0,25.0
GPT-4o,P23,4,85.0,60.0,25.0
GPT-4o,P23,5,85.0,60.0,25.0
GPT-4o,P24,1,85.0,70.0,15.0
GPT-4o,P24,2,85.0,70.0,15.0
GPT-4o,P24,3,85.0,70.0,15.0
GPT-4o,P24,4,85.0,70.0,15.0
GPT-4o,P24,5,85.0,70.0,15.0
GPT-4o,P25,1,85.0,60.0,25.0
GPT-4o,P25,2,85.0,60.0,25.0
GPT-4o,P25,3,85.0,60.0,25.0
GPT-4o,P25,4,85.0,60.0,25.0
GPT-4o,P25,5,85.0,60.0,25.0
GPT-4o,P26,1,85.0,60.0,25.0
GPT-4o,P26,2,85.0,60.0,25.0
GPT-4o,P26,3,85.0,60.0,25.0
GPT-4o,P26,4,85.0,60.0,25.0
GPT-4o,P26,5,85.0,60.0,25.0
GPT-4o,P27,1,85.0,70.0,15.0
GPT-4o,P27,2,85.0,70.0,15.0
GPT-4o,P27,3,85.0,70.0,15.0
GPT-4o,P27,4,85.0,70.0,15.0
GPT-4o,P27,5,85.0,70.0,15.0
Gemini 2.5 Flash,P01,1,88.0,25.0,63.0
Gemini 2.5 Flash,P01,2,88.0,15.0,73.0
Gemini 2.5 Flash,P01,3,90.0,15.0,75.0
Gemini 2.5 Flash,P01,4,88.0,15.0,73.0
Gemini 2.5 Flash,P01,5,90.0,25.0,65.0
Gemini 2.5 Flash,P02,1,88.0,25.0,63.0
Gemini 2.5 Flash,P02,2,85.0,25.0,60.0
Gemini 2.5 Flash,P02,3,85.0,25.0,60.0
Gemini 2.5 Flash,P02,4,88.0,25.0,63.0
Gemini 2.5 Flash,P02,5,85.0,25.0,60.0
Gemini 2.5 Flash,P03,1,88.0,25.0,63.0
Gemini 2.5 Flash,P03,2,88.0,25.0,63.0
Gemini 2.5 Flash,P03,3,88.0,25.0,63.0
Gemini 2.5 Flash,P03,4,88.0,25.0,63.0
Gemini 2.5 Flash,P03,5,88.0,25.0,63.0
Gemini 2.5 Flash,P04,1,85.0,25.0,60.0
Gemini 2.5 Flash,P04,2,85.0,35.0,50.0
Gemini 2.5 Flash,P04,3,88.0,25.0,63.0
Gemini 2.5 Flash,P04,4,85.0,25.0,60.0
Gemini 2.5 Flash,P04,5,88.0,35.0,53.0
Gemini 2.5 Flash,P05,1,85.0,25.0,60.0
Gemini 2.5 Flash,P05,2,90.0,25.0,65.0
Gemini 2.5 Flash,P05,3,90.0,25.0,65.0
Gemini 2.5 Flash,P05,4,85.0,25.0,60.0
Gemini 2.5 Flash,P05,5,85.0,25.0,60.0
Gemini 2.5 Flash,P06,1,85.0,35.0,50.0
Gemini 2.5 Flash,P06,2,88.0,25.0,63.0
Gemini 2.5 Flash,P06,3,88.0,25.0,63.0
Gemini 2.5 Flash,P06,4,85.0,35.0,50.0
Gemini 2.5 Flash,P06,5,85.0,35.0,50.0
Gemini 2.5 Flash,P07,1,85.0,25.0,60.0
Gemini 2.5 Flash,P07,2,85.0,25.0,60.0
Gemini 2.5 Flash,P07,3,85.0,25.0,60.0
Gemini 2.5 Flash,P07,4,88.0,25.0,63.0
Gemini 2.5 Flash,P07,5,88.0,25.0,63.0
Gemini 2.5 Flash,P08,1,90.0,25.0,65.0
Gemini 2.5 Flash,P08,2,90.0,25.0,65.0
Gemini 2.5 Flash,P08,3,88.0,25.0,63.0
Gemini 2.5 Flash,P08,4,90.0,25.0,65.0
Gemini 2.5 Flash,P08,5,88.0,25.0,63.0
Gemini 2.5 Flash,P09,1,90.0,35.0,55.0
Gemini 2.5 Flash,P09,2,90.0,35.0,55.0
Gemini 2.5 Flash,P09,3,90.0,35.0,55.0
Gemini 2.5 Flash,P09,4,90.0,35.0,55.0
Gemini 2.5 Flash,P09,5,90.0,35.0,55.0
Gemini 2.5 Flash,P10,1,90.0,15.0,75.0
Gemini 2.5 Flash,P10,2,90.0,15.0,75.0
Gemini 2.5 Flash,P10,3,90.0,15.0,75.0
Gemini 2.5 Flash,P10,4,90.0,15.0,75.0
Gemini 2.5 Flash,P10,5,90.0,15.0,75.0
Gemini 2.5 Flash,P11,1,88.0,25.0,63.0
Gemini 2.5 Flash,P11,2,88.0,25.0,63.0
Gemini 2.5 Flash,P11,3,88.0,25.0,63.0
Gemini 2.5 Flash,P11,4,85.0,25.0,60.0
Gemini 2.5 Flash,P11,5,90.0,25.0,65.0
Gemini 2.5 Flash,P12,1,90.0,25.0,65.0
Gemini 2.5 Flash,P12,2,90.0,25.0,65.0
Gemini 2.5 Flash,P12,3,90.0,25.0,65.0
Gemini 2.5 Flash,P12,4,90.0,25.0,65.0
Gemini 2.5 Flash,P12,5,90.0,25.0,65.0
Gemini 2.5 Flash,P13,1,88.0,25.0,63.0
Gemini 2.5 Flash,P13,2,90.0,25.0,65.0
Gemini 2.5 Flash,P13,3,88.0,25.0,63.0
Gemini 2.5 Flash,P13,4,90.0,25.0,65.0
Gemini 2.5 Flash,P13,5,90.0,25.0,65.0
Gemini 2.5 Flash,P14,1,88.0,25.0,63.0
Gemini 2.5 Flash,P14,2,85.0,25.0,60.0
Gemini 2.5 Flash,P14,3,88.0,25.0,63.0
Gemini 2.5 Flash,P14,4,88.0,25.0,63.0
Gemini 2.5 Flash,P14,5,85.0,25.0,60.0
Gemini 2.5 Flash,P15,1,88.0,35.0,53.0
Gemini 2.5 Flash,P15,2,88.0,35.0,53.0
Gemini 2.5 Flash,P15,3,88.0,35.0,53.0
Gemini 2.5 Flash,P15,4,88.0,35.0,53.0
Gemini 2.5 Flash,P15,5,88.0,35.0,53.0
Gemini 2.5 Flash,P16,1,85.0,35.0,50.0
Gemini 2.5 Flash,P16,2,85.0,35.0,50.0
Gemini 2.5 Flash,P16,3,85.0,35.0,50.0
Gemini 2.5 Flash,P16,4,85.0,35.0,50.0
Gemini 2.5 Flash,P16,5,85.0,35.0,50.0
Gemini 2.5 Flash,P17,1,80.0,35.0,45.0
Gemini 2.5 Flash,P17,2,88.0,35.0,53.0
Gemini 2.5 Flash,P17,3,80.0,35.0,45.0
Gemini 2.5 Flash,P17,4,80.0,35.0,45.0
Gemini 2.5 Flash,P17,5,88.0,35.0,53.0
Gemini 2.5 Flash,P18,1,90.0,35.0,55.0
Gemini 2.5 Flash,P18,2,90.0,35.0,55.0
Gemini 2.5 Flash,P18,3,85.0,35.0,50.0
Gemini 2.5 Flash,P18,4,90.0,35.0,55.0
Gemini 2.5 Flash,P18,5,85.0,35.0,50.0
Gemini 2.5 Flash,P19,1,90.0,15.0,75.0
Gemini 2.5 Flash,P19,2,90.0,25.0,65.0
Gemini 2.5 Flash,P19,3,90.0,15.0,75.0
Gemini 2.5 Flash,P19,4,90.0,25.0,65.0
Gemini 2.5 Flash,P19,5,90.0,25.0,65.0
Gemini 2.5 Flash,P20,1,92.0,25.0,67.0
Gemini 2.5 Flash,P20,2,90.0,15.0,75.0
Gemini 2.5 Flash,P20,3,92.0,15.0,77.0
Gemini 2.5 Flash,P20,4,92.0,25.0,67.0
Gemini 2.5 Flash,P20,5,90.0,25.0,65.0
Gemini 2.5 Flash,P21,1,90.0,35.0,55.0
Gemini 2.5 Flash,P21,2,90.0,35.0,55.0
Gemini 2.5 Flash,P21,3,88.0,35.0,53.0
Gemini 2.5 Flash,P21,4,88.0,25.0,63.0
Gemini 2.5 Flash,P21,5,90.0,35.0,55.0
Gemini 2.5 Flash,P22,1,90.0,35.0,55.0
Gemini 2.5 Flash,P22,2,90.0,25.0,65.0
Gemini 2.5 Flash,P22,3,90.0,35.0,55.0
Gemini 2.5 Flash,P22,4,90.0,35.0,55.0
Gemini 2.5 Flash,P22,5,90.0,25.0,65.0
Gemini 2.5 Flash,P23,1,90.0,35.0,55.0
Gemini 2.5 Flash,P23,2,90.0,35.0,55.0
Gemini 2.5 Flash,P23,3,90.0,35.0,55.0
Gemini 2.5 Flash,P23,4,90.0,35.0,55.0
Gemini 2.5 Flash,P23,5,90.0,35.0,55.0
Gemini 2.5 Flash,P24,1,85.0,35.0,50.0
Gemini 2.5 Flash,P24,2,90.0,35.0,55.0
Gemini 2.5 Flash,P24,3,85.0,35.0,50.0
Gemini 2.5 Flash,P24,4,85.0,35.0,50.0
Gemini 2.5 Flash,P24,5,90.0,35.0,55.0
Gemini 2.5 Flash,P25,1,88.0,40.0,48.0
Gemini 2.5 Flash,P25,2,85.0,45.0,40.0
Gemini 2.5 Flash,P25,3,85.0,40.0,45.0
Gemini 2.5 Flash,P25,4,88.0,45.0,43.0
Gemini 2.5 Flash,P25,5,85.0,45.0,40.0
Gemini 2.5 Flash,P26,1,90.0,35.0,55.0
Gemini 2.5 Flash,P26,2,90.0,35.0,55.0
Gemini 2.5 Flash,P26,3,85.0,35.0,50.0
Gemini 2.5 Flash,P26,4,85.0,35.0,50.0
Gemini 2.5 Flash,P26,5,90.0,35.0,55.0
Gemini 2.5 Flash,P27,1,90.0,45.0,45.0
Gemini 2.5 Flash,P27,2,88.0,65.0,23.0
Gemini 2.5 Flash,P27,3,88.0,65.0,23.0
Gemini 2.5 Flash,P27,4,90.0,45.0,45.0
Gemini 2.5 Flash,P27,5,88.0,65.0,23.0
Gemini 2.5 Pro,P01,1,85.0,15.0,70.0
Gemini 2.5 Pro,P01,2,85.0,15.0,70.0
Gemini 2.5 Pro,P01,3,85.0,15.0,70.0
Gemini 2.5 Pro,P01,4,85.0,15.0,70.0
Gemini 2.5 Pro,P01,5,90.0,15.0,75.0
Gemini 2.5 Pro,P02,1,90.0,15.0,75.0
Gemini 2.5 Pro,P02,2,85.0,15.0,70.0
Gemini 2.5 Pro,P02,3,95.0,15.0,80.0
Gemini 2.5 Pro,P02,4,85.0,15.0,70.0
Gemini 2.5 Pro,P02,5,90.0,15.0,75.0
Gemini 2.5 Pro,P03,1,85.0,15.0,70.0
Gemini 2.5 Pro,P03,2,90.0,15.0,75.0
Gemini 2.5 Pro,P03,3,90.0,15.0,75.0
Gemini 2.5 Pro,P03,4,90.0,15.0,75.0
Gemini 2.5 Pro,P03,5,90.0,15.0,75.0
Gemini 2.5 Pro,P04,1,85.0,20.0,65.0
Gemini 2.5 Pro,P04,2,70.0,20.0,50.0
Gemini 2.5 Pro,P04,3,70.0,20.0,50.0
Gemini 2.5 Pro,P04,4,85.0,20.0,65.0
Gemini 2.5 Pro,P04,5,70.0,20.0,50.0
Gemini 2.5 Pro,P05,1,85.0,20.0,65.0
Gemini 2.5 Pro,P05,2,85.0,25.0,60.0
Gemini 2.5 Pro,P05,3,85.0,20.0,65.0
Gemini 2.5 Pro,P05,4,90.0,20.0,70.0
Gemini 2.5 Pro,P05,5,90.0,25.0,65.0
Gemini 2.5 Pro,P06,1,85.0,25.0,60.0
Gemini 2.5 Pro,P06,2,90.0,25.0,65.0
Gemini 2.5 Pro,P06,3,85.0,25.0,60.0
Gemini 2.5 Pro,P06,4,85.0,25.0,60.0
Gemini 2.5 Pro,P06,5,85.0,25.0,60.0
Gemini 2.5 Pro,P07,1,90.0,30.0,60.0
Gemini 2.5 Pro,P07,2,90.0,25.0,65.0
Gemini 2.5 Pro,P07,3,80.0,20.0,60.0
Gemini 2.5 Pro,P07,4,85.0,25.0,60.0
Gemini 2.5 Pro,P07,5,85.0,20.0,65.0
Gemini 2.5 Pro,P08,1,90.0,20.0,70.0
Gemini 2.5 Pro,P08,2,90.0,20.0,70.0
Gemini 2.5 Pro,P08,3,85.0,20.0,65.0
Gemini 2.5 Pro,P08,4,90.0,30.0,60.0
Gemini 2.5 Pro,P08,5,85.0,30.0,55.0
Gemini 2.5 Pro,P09,1,85.0,25.0,60.0
Gemini 2.5 Pro,P09,2,90.0,25.0,65.0
Gemini 2.5 Pro,P09,3,90.0,30.0,60.0
Gemini 2.5 Pro,P09,4,90.0,25.0,65.0
Gemini 2.5 Pro,P09,5,90.0,25.0,65.0
Gemini 2.5 Pro,P10,1,95.0,15.0,80.0
Gemini 2.5 Pro,P10,2,90.0,15.0,75.0
Gemini 2.5 Pro,P10,3,85.0,15.0,70.0
Gemini 2.5 Pro,P10,4,85.0,15.0,70.0
Gemini 2.5 Pro,P10,5,90.0,15.0,75.0
Gemini 2.5 Pro,P11,1,90.0,15.0,75.0
Gemini 2.5 Pro,P11,2,90.0,25.0,65.0
Gemini 2.5 Pro,P11,3,90.0,25.0,65.0
Gemini 2.5 Pro,P11,4,90.0,25.0,65.0
Gemini 2.5 Pro,P11,5,90.0,15.0,75.0
Gemini 2.5 Pro,P12,1,90.0,20.0,70.0
Gemini 2.5 Pro,P12,2,90.0,20.0,70.0
Gemini 2.5 Pro,P12,3,90.0,20.0,70.0
Gemini 2.5 Pro,P12,4,95.0,20.0,75.0
Gemini 2.5 Pro,P12,5,90.0,20.0,70.0
Gemini 2.5 Pro,P13,1,85.0,35.0,50.0
Gemini 2.5 Pro,P13,2,85.0,25.0,60.0
Gemini 2.5 Pro,P13,3,85.0,35.0,50.0
Gemini 2.5 Pro,P13,4,85.0,25.0,60.0
Gemini 2.5 Pro,P13,5,85.0,25.0,60.0
Gemini 2.5 Pro,P14,1,90.0,25.0,65.0
Gemini 2.5 Pro,P14,2,90.0,25.0,65.0
Gemini 2.5 Pro,P14,3,90.0,25.0,65.0
Gemini 2.5 Pro,P14,4,90.0,30.0,60.0
Gemini 2.5 Pro,P14,5,90.0,25.0,65.0
Gemini 2.5 Pro,P15,1,95.0,30.0,65.0
Gemini 2.5 Pro,P15,2,95.0,25.0,70.0
Gemini 2.5 Pro,P15,3,95.0,30.0,65.0
Gemini 2.5 Pro,P15,4,85.0,20.0,65.0
Gemini 2.5 Pro,P15,5,85.0,20.0,65.0
Gemini 2.5 Pro,P16,1,85.0,25.0,60.0
Gemini 2.5 Pro,P16,2,85.0,30.0,55.0
Gemini 2.5 Pro,P16,3,85.0,25.0,60.0
Gemini 2.5 Pro,P16,4,85.0,25.0,60.0
Gemini 2.5 Pro,P16,5,85.0,30.0,55.0
Gemini 2.5 Pro,P17,1,90.0,30.0,60.0
Gemini 2.5 Pro,P17,2,90.0,30.0,60.0
Gemini 2.5 Pro,P17,3,90.0,25.0,65.0
Gemini 2.5 Pro,P17,4,90.0,30.0,60.0
Gemini 2.5 Pro,P17,5,90.0,25.0,65.0
Gemini 2.5 Pro,P18,1,90.0,35.0,55.0
Gemini 2.5 Pro,P18,2,90.0,30.0,60.0
Gemini 2.5 Pro,P18,3,90.0,25.0,65.0
Gemini 2.5 Pro,P18,4,90.0,30.0,60.0
Gemini 2.5 Pro,P18,5,90.0,30.0,60.0
Gemini 2.5 Pro,P19,1,90.0,15.0,75.0
Gemini 2.5 Pro,P19,2,85.0,15.0,70.0
Gemini 2.5 Pro,P19,3,90.0,15.0,75.0
Gemini 2.5 Pro,P19,4,90.0,15.0,75.0
Gemini 2.5 Pro,P19,5,90.0,15.0,75.0
Gemini 2.5 Pro,P20,1,90.0,25.0,65.0
Gemini 2.5 Pro,P20,2,95.0,15.0,80.0
Gemini 2.5 Pro,P20,3,85.0,20.0,65.0
Gemini 2.5 Pro,P20,4,90.0,25.0,65.0
Gemini 2.5 Pro,P20,5,95.0,20.0,75.0
Gemini 2.5 Pro,P21,1,90.0,25.0,65.0
Gemini 2.5 Pro,P21,2,90.0,15.0,75.0
Gemini 2.5 Pro,P21,3,90.0,15.0,75.0
Gemini 2.5 Pro,P21,4,90.0,15.0,75.0
Gemini 2.5 Pro,P21,5,90.0,25.0,65.0
Gemini 2.5 Pro,P22,1,90.0,25.0,65.0
Gemini 2.5 Pro,P22,2,85.0,25.0,60.0
Gemini 2.5 Pro,P22,3,90.0,25.0,65.0
Gemini 2.5 Pro,P22,4,90.0,25.0,65.0
Gemini 2.5 Pro,P22,5,85.0,35.0,50.0
Gemini 2.5 Pro,P23,1,90.0,25.0,65.0
Gemini 2.5 Pro,P23,2,90.0,25.0,65.0
Gemini 2.5 Pro,P23,3,90.0,30.0,60.0
Gemini 2.5 Pro,P23,4,90.0,25.0,65.0
Gemini 2.5 Pro,P23,5,95.0,25.0,70.0
Gemini 2.5 Pro,P24,1,85.0,25.0,60.0
Gemini 2.5 Pro,P24,2,85.0,25.0,60.0
Gemini 2.5 Pro,P24,3,85.0,25.0,60.0
Gemini 2.5 Pro,P24,4,90.0,25.0,65.0
Gemini 2.5 Pro,P24,5,90.0,35.0,55.0
Gemini 2.5 Pro,P25,1,85.0,25.0,60.0
Gemini 2.5 Pro,P25,2,85.0,30.0,55.0
Gemini 2.5 Pro,P25,3,85.0,25.0,60.0
Gemini 2.5 Pro,P25,4,85.0,25.0,60.0
Gemini 2.5 Pro,P25,5,75.0,25.0,50.0
Gemini 2.5 Pro,P26,1,90.0,30.0,60.0
Gemini 2.5 Pro,P26,2,90.0,25.0,65.0
Gemini 2.5 Pro,P26,3,90.0,25.0,65.0
Gemini 2.5 Pro,P26,4,90.0,25.0,65.0
Gemini 2.5 Pro,P26,5,90.0,30.0,60.0
Gemini 2.5 Pro,P27,1,85.0,30.0,55.0
Gemini 2.5 Pro,P27,2,90.0,30.0,60.0
Gemini 2.5 Pro,P27,3,90.0,25.0,65.0
Gemini 2.5 Pro,P27,4,90.0,30.0,60.0
Gemini 2.5 Pro,P27,5,85.0,25.0,60.0
Llama 3.1 70B Instruct,P01,1,80.0,40.0,40.0
Llama 3.1 70B Instruct,P01,2,80.0,40.0,40.0
Llama 3.1 70B Instruct,P01,3,80.0,40.0,40.0
Llama 3.1 70B Instruct,P01,4,80.0,40.0,40.0
Llama 3.1 70B Instruct,P01,5,80.0,40.0,40.0
Llama 3.1 70B Instruct,P02,1,80.0,40.0,40.0
Llama 3.1 70B Instruct,P02,2,80.0,40.0,40.0
Llama 3.1 70B Instruct,P02,3,80.0,40.0,40.0
Llama 3.1 70B Instruct,P02,4,80.0,40.0,40.0
Llama 3.1 70B Instruct,P02,5,80.0,40.0,40.0
Llama 3.1 70B Instruct,P03,1,80.0,40.0,40.0
Llama 3.1 70B Instruct,P03,2,80.0,40.0,40.0
Llama 3.1 70B Instruct,P03,3,80.0,40.0,40.0
Llama 3.1 70B Instruct,P03,4,80.0,40.0,40.0
Llama 3.1 70B Instruct,P03,5,80.0,40.0,40.0
Llama 3.1 70B Instruct,P04,1,80.0,40.0,40.0
Llama 3.1 70B Instruct,P04,2,80.0,40.0,40.0
Llama 3.1 70B Instruct,P04,3,80.0,40.0,40.0
Llama 3.1 70B Instruct,P04,4,80.0,40.0,40.0
Llama 3.1 70B Instruct,P04,5,80.0,40.0,40.0
Llama 3.1 70B Instruct,P05,1,80.0,40.0,40.0
Llama 3.1 70B Instruct,P05,2,80.0,40.0,40.0
Llama 3.1 70B Instruct,P05,3,80.0,40.0,40.0
Llama 3.1 70B Instruct,P05,4,80.0,40.0,40.0
Llama 3.1 70B Instruct,P05,5,80.0,40.0,40.0
Llama 3.1 70B Instruct,P06,1,80.0,40.0,40.0
Llama 3.1 70B Instruct,P06,2,80.0,60.0,20.0
Llama 3.1 70B Instruct,P06,3,80.0,40.0,40.0
Llama 3.1 70B Instruct,P06,4,80.0,40.0,40.0
Llama 3.1 70B Instruct,P06,5,80.0,40.0,40.0
Llama 3.1 70B Instruct,P07,1,80.0,40.0,40.0
Llama 3.1 70B Instruct,P07,2,80.0,40.0,40.0
Llama 3.1 70B Instruct,P07,3,80.0,40.0,40.0
Llama 3.1 70B Instruct,P07,4,80.0,40.0,40.0
Llama 3.1 70B Instruct,P07,5,80.0,40.0,40.0
Llama 3.1 70B Instruct,P08,1,80.0,40.0,40.0
Llama 3.1 70B Instruct,P08,2,80.0,40.0,40.0
Llama 3.1 70B Instruct,P08,3,80.0,40.0,40.0
Llama 3.1 70B Instruct,P08,4,80.0,40.0,40.0
Llama 3.1 70B Instruct,P08,5,80.0,40.0,40.0
Llama 3.1 70B Instruct,P09,1,80.0,60.0,20.0
Llama 3.1 70B Instruct,P09,2,80.0,60.0,20.0
Llama 3.1 70B Instruct,P09,3,80.0,60.0,20.0
Llama 3.1 70B Instruct,P09,4,80.0,60.0,20.0
Llama 3.1 70B Instruct,P09,5,80.0,60.0,20.0
